time,18-49V,18-49U,50-64V
14,60.31949186,558.4706198,24.80559491
15,57.89607957,568.3752351,24.14027573
16,52.75187628,469.2462334,20.18614571
17,45.42394732,431.6551784,16.40065646
18,32.91864928,357.4360634,12.17192342
19,23.34388284,305.3799612,9.314983813
20,17.87909713,234.8294689,7.80951059
21,13.72752399,176.2174239,6.096236794
22,11.18252989,143.5027119,5.403912049
23,11.1206431,128.4299808,5.451443671
